algorithm,day,waitlist_before,patients_resolved,new_requests,waitlist_after,satisfaction_rate,cycles_found,avg_cycle_length,max_cycle_length,avg_wait_days,max_wait_days,cross_requests_added,cross_resolved,solve_ms
Greedy DFS,1,5000,4039,18,979,0.807800,13,310.6923,2828,1.0000,1,1,484,5.8847
Greedy DFS,2,979,20,18,977,0.020429,6,3.3333,5,1.6500,2,2,0,0.9789
Greedy DFS,3,977,23,18,972,0.023541,5,4.6000,9,2.3478,3,1,3,2.2011
Greedy DFS,4,972,15,18,975,0.015432,5,3.0000,4,2.6000,4,3,0,1.2199
Greedy DFS,5,975,12,18,981,0.012308,3,4.0000,6,3.7500,5,3,0,1.8895
Greedy DFS,6,981,9,18,990,0.009174,1,9.0000,9,4.8889,6,1,4,0.8641
Greedy DFS,7,990,21,18,987,0.021212,4,5.2500,15,4.2381,7,2,2,0.7869
Greedy DFS,8,987,11,18,994,0.011145,5,2.2000,3,4.8182,8,1,0,2.5967
Greedy DFS,9,994,12,18,1000,0.012072,3,4.0000,6,5.5000,9,1,0,0.4670
Greedy DFS,10,1000,15,18,1003,0.015000,3,5.0000,8,6.0667,10,1,0,1.0020
Greedy DFS,11,1003,27,18,994,0.026919,5,5.4000,11,7.1111,11,0,5,0.8559
Greedy DFS,12,994,10,18,1002,0.010060,4,2.5000,4,6.0000,12,3,0,0.6845
Greedy DFS,13,1002,13,18,1007,0.012974,4,3.2500,5,8.2308,13,2,2,0.6518
Greedy DFS,14,1007,18,18,1007,0.017875,4,4.5000,7,8.1111,14,3,3,1.6610
Greedy DFS,15,1007,27,18,998,0.026812,6,4.5000,9,9.5926,15,1,6,1.4704
Greedy DFS,16,998,18,18,998,0.018036,5,3.6000,7,8.9444,16,3,3,1.9983
Greedy DFS,17,998,16,18,1000,0.016032,5,3.2000,5,9.1875,17,1,0,1.0231
Greedy DFS,18,1000,13,18,1005,0.013000,2,6.5000,9,11.3077,18,2,2,0.5457
Greedy DFS,19,1005,23,18,1000,0.022886,7,3.2857,6,8.3478,19,2,3,2.5559
Greedy DFS,20,1000,20,18,998,0.020000,4,5.0000,13,12.5000,20,4,6,0.6485
Greedy DFS,21,998,13,18,1003,0.013026,3,4.3333,5,13.0769,21,1,0,1.0716
Greedy DFS,22,1003,40,18,981,0.039880,4,10.0000,26,12.2250,22,2,6,0.7998
Greedy DFS,23,981,10,18,989,0.010194,3,3.3333,6,14.2000,23,1,0,0.4654
Greedy DFS,24,989,26,18,981,0.026289,8,3.2500,4,10.9615,24,3,2,1.1804
Greedy DFS,25,981,6,18,993,0.006116,3,2.0000,2,10.5000,25,0,0,1.2827
Greedy DFS,26,993,18,18,993,0.018127,4,4.5000,9,14.5556,26,1,3,1.0816
Greedy DFS,27,993,12,18,999,0.012085,4,3.0000,5,8.1667,27,0,0,0.6091
Greedy DFS,28,999,15,18,1002,0.015015,6,2.5000,4,15.3333,28,5,0,0.7183
Greedy DFS,29,1002,18,18,1002,0.017964,4,4.5000,12,16.0000,29,3,5,0.7965
Greedy DFS,30,1002,12,18,1008,0.011976,4,3.0000,4,12.2500,30,2,2,0.7730
Greedy DFS,31,1008,19,18,1007,0.018849,3,6.3333,15,15.7895,31,0,6,0.5068
Greedy DFS,32,1007,11,18,1014,0.010924,5,2.2000,3,12.4545,32,2,0,0.5936
Greedy DFS,33,1014,2,18,1030,0.001972,1,2.0000,2,11.0000,21,0,0,0.4469
Greedy DFS,34,1030,15,18,1033,0.014563,4,3.7500,8,15.9333,34,2,0,1.4607
Greedy DFS,35,1033,28,18,1023,0.027106,7,4.0000,7,17.2857,35,2,0,0.5616
Greedy DFS,36,1023,14,18,1027,0.013685,5,2.8000,3,18.9286,36,1,0,0.5360
Huitfeldt TTC,1,5000,4042,18,976,0.808400,806,5.0149,30,1.0000,1,2,484,115.7752
Huitfeldt TTC,2,976,13,18,981,0.013320,6,2.1667,3,1.5385,2,4,0,12.1173
Huitfeldt TTC,3,981,29,18,970,0.029562,8,3.6250,7,2.2759,3,1,5,15.1831
Huitfeldt TTC,4,970,17,18,971,0.017526,6,2.8333,6,2.7059,4,2,0,13.7484
Huitfeldt TTC,5,971,11,18,978,0.011329,4,2.7500,5,2.5455,5,2,2,12.8947
Huitfeldt TTC,6,978,19,18,977,0.019427,6,3.1667,5,3.3684,6,0,0,13.9172
Huitfeldt TTC,7,977,8,18,987,0.008188,3,2.6667,4,3.6250,7,2,0,14.0487
Huitfeldt TTC,8,987,19,18,986,0.019250,6,3.1667,5,4.9474,8,1,2,12.9338
Huitfeldt TTC,9,986,14,18,990,0.014199,4,3.5000,6,5.8571,9,0,0,14.7133
Huitfeldt TTC,10,990,13,18,995,0.013131,6,2.1667,3,4.6154,10,1,0,12.0759
Huitfeldt TTC,11,995,14,18,999,0.014070,5,2.8000,3,6.8571,11,1,0,12.3805
Huitfeldt TTC,12,999,26,18,991,0.026026,7,3.7143,8,5.3077,12,0,6,15.7673
Huitfeldt TTC,13,991,13,18,996,0.013118,5,2.6000,3,7.6923,13,2,0,12.7725
Huitfeldt TTC,14,996,23,18,991,0.023092,7,3.2857,4,7.8261,14,2,2,14.4432
Huitfeldt TTC,15,991,8,18,1001,0.008073,4,2.0000,2,6.3750,15,2,0,14.0900
Huitfeldt TTC,16,1001,11,18,1008,0.010989,4,2.7500,4,6.3636,16,4,0,13.3237
