algorithm,num_patients,num_doctors,num_days,total_resolved,avg_daily_satisfaction_rate,avg_waitlist_size,min_waitlist_size,max_waitlist_size,final_waitlist_size,avg_cycles_per_day,avg_cycle_length_overall,resolved_count,resolved_avg_wait,resolved_std_wait,resolved_p50,resolved_p90,resolved_p95,resolved_p99,resolved_max,outstanding_count,outstanding_avg_wait,outstanding_p50,outstanding_p90,outstanding_p95,outstanding_p99,outstanding_max,overall_avg_wait,overall_max_wait,starvation_threshold_days,starved_resolved,starved_outstanding,num_districts,cross_district_prob,cross_added,within_added,cross_resolved_count,cross_resolved_avg,cross_resolved_p90,cross_resolved_p99,cross_resolved_max,within_resolved_count,within_resolved_avg,within_resolved_p90,within_resolved_p99,within_resolved_max,cross_outstanding_count,cross_outstanding_avg,within_outstanding_count,within_outstanding_avg,total_solve_ms,avg_solve_ms,max_solve_ms
Greedy DFS,100000,102,7300,350125,0.002652,23082.9393,3768,34889,34875,11.2360,4.4584,350125,374.0984,662.2364,3,1522,1978,2513,3206,34875,1075.9639,986,2133,2379,2739,3179,437.6765,3206,90,119797,32875,6,0.0200,7807,377193,7391,183.3300,564,2164,3099,342734,378.2123,1532,2516,3206,416,941.6418,34459,1077.5855,11849436.3039,1623.2105,91808.2596
Huitfeldt TTC,100000,102,7300,357442,0.003245,18404.3322,3770,27558,27558,16.7171,2.8997,357442,85.4298,439.8334,2,83,266,2296,7262,27558,3767.1613,3833,6961,7300,7300,7300,348.9653,7300,90,33865,26583,6,0.0200,7667,377333,7255,146.8317,339,2292,6466,350187,84.1577,78,2296,7262,412,2094.6481,27146,3792.5453,2550271.5914,349.3523,3294.9593
Exact Cardinality,100000,102,7300,357747,0.003430,17914.3785,2929,27275,27253,19.9448,3.2336,357747,93.8206,453.8986,2,104,357,2414,7284,27253,3566.9809,3532,6822,7221,7300,7300,339.6752,7300,90,38281,26258,6,0.0200,7679,377321,7382,84.9867,180,1381,5196,350365,94.0067,101,2440,7284,297,1735.5993,26956,3587.1590,57350.4687,7.8562,1137.3858
Exact Priority,100000,102,7300,349415,0.002630,23352.4448,4341,35589,35585,20.6452,2.9957,349415,381.6807,652.2714,2,1505,1899,2462,3071,35585,1042.7960,965,2044,2338,2671,3051,442.7866,3071,90,123427,33510,6,0.0200,7695,377305,7322,227.2419,816,2337,2967,342093,384.9862,1511,2464,3071,373,991.9330,35212,1043.3348,2055155.1243,281.5281,1020.0144
Util Linear,100000,102,7300,354294,0.003149,19863.9163,2929,30715,30706,25.0075,3.1246,354294,219.2662,641.4430,2,653,1368,3377,7298,30706,2192.4674,1567,5477,6448,7300,7300,376.6405,7300,90,79437,29100,6,0.0200,7708,377292,6763,294.6074,1019,3457,5727,347531,217.8000,646,3374,7298,945,2099.1693,29761,2195.4299,1651427.8071,226.2230,134491.2734
Util Exp 1.01,100000,102,7300,349270,0.003144,21421.4855,2929,35729,35730,23.3511,3.1300,349270,228.4197,734.7534,2,550,1627,3983,7290,35730,2143.7643,1780,4622,5363,6826,7300,406.1736,7300,90,63403,34151,6,0.0200,7651,377349,6957,152.4226,307,2983,5631,342313,229.9642,558,4002,7290,694,2261.6398,35036,2141.4294,1902343.3374,260.5950,135112.5266
Util Exp 1.05,100000,102,7300,351514,0.002899,22613.8847,2929,33505,33486,23.1468,3.1323,351514,273.5116,769.1983,2,878,1950,3985,6977,33486,2058.7174,1688,4538,5298,6255,7255,428.7827,7255,90,76076,31895,6,0.0200,7875,377125,7285,218.6034,477,3820,6078,344229,274.6736,888,3986,6977,590,2701.8000,32896,2047.1835,2136250.7300,292.6371,133637.3818
Util Exp 1.1,100000,102,7300,352119,0.002887,22344.9301,2929,32875,32881,22.7348,3.1419,352119,270.6162,760.0669,2,874,1902,3938,6961,32881,2062.8596,1691,4526,5215,6117,7253,423.6831,7253,90,77111,31300,6,0.0200,7801,377199,7227,212.3361,497,3574,6269,344892,271.8374,882,3943,6961,574,2467.0139,32307,2055.6790,2001816.1318,274.2214,134269.6129
Util Exp 1.5,100000,102,7300,357874,0.003153,18810.3271,2929,27134,27126,22.4627,3.2124,357874,164.9753,477.8797,2,528,1072,2217,7262,27126,2885.6079,2570,6145,6778,7300,7300,356.6633,7300,90,74226,25792,6,0.0200,7636,377364,7188,254.6589,1156,2343,4869,350686,163.1371,521,2213,7262,448,1278.0156,26678,2912.6040,1216053.2995,166.5826,133952.3736
Util Exp 1.9,100000,102,7300,357739,0.003225,18507.2845,2929,27259,27261,22.1107,3.2221,357739,130.2147,440.9678,2,351,760,2192,7189,27261,3247.1401,3114,6468,7014,7300,7300,350.9173,7300,90,65438,26053,6,0.0200,7798,377202,7478,200.3985,942,1563,5420,350261,128.7163,342,2216,7189,320,914.8156,26941,3274.8430,1084931.4924,148.6208,133416.7965
