iter,best_score,incumbent_score
0,587,568
1,587,568
2,587,568
3,587,568
4,587,569
5,587,569
6,587,569
7,587,569
8,587,569
9,587,569
10,587,569
11,587,569
12,587,576
13,587,576
14,587,577
15,587,577
16,587,577
17,587,576
18,616,616
19,616,616
20,616,616
21,616,616
22,616,616
23,616,616
24,616,616
25,616,616
26,616,616
27,616,616
28,617,617
29,617,617
30,617,616
31,617,617
32,617,617
33,617,617
34,618,618
35,619,619
36,619,619
37,619,619
38,619,619
39,619,619
40,620,620
41,620,620
42,620,620
43,620,620
44,620,620
45,620,620
46,640,640
47,640,640
48,640,640
49,640,640
50,640,640
51,640,640
52,640,640
53,640,640
54,640,640
55,640,640
56,641,641
57,641,641
58,641,641
59,642,642
60,642,642
61,642,612
62,642,612
63,642,612
64,642,612
65,642,612
66,642,612
67,642,612
68,642,612
69,642,612
70,642,612
71,642,613
72,642,613
73,642,613
74,642,613
75,642,613
76,642,613
77,642,613
78,642,613
79,642,613
80,642,613
81,642,613
82,642,613
83,642,613
84,642,613
85,642,613
86,642,613
87,643,643
88,643,643
89,643,643
90,644,644
91,644,644
92,645,645
93,645,643
94,645,643
95,645,643
96,645,643
97,645,643
98,645,643
99,645,643
100,645,643
101,645,644
102,645,644
103,645,644
104,645,644
105,645,644
106,645,644
107,645,644
108,645,645
109,645,645
110,645,645
111,645,645
112,646,646
113,646,646
114,646,646
115,646,646
116,647,647
117,647,647
118,647,647
119,647,647
120,647,647
121,647,647
122,647,647
123,647,647
124,648,648
125,648,648
126,648,648
127,648,648
128,648,648
129,648,648
130,648,648
131,648,648
132,648,648
133,648,648
134,648,648
135,648,648
136,648,648
137,648,648
138,648,648
139,648,648
140,648,648
141,648,648
142,648,648
143,648,648
144,648,648
145,648,648
146,649,649
147,649,649
148,649,649
149,649,649
150,649,649
151,649,649
152,649,649
153,649,649
154,649,649
155,649,649
156,649,649
157,650,650
158,650,650
159,651,651
160,651,651
161,651,651
162,651,651
163,651,651
164,651,651
165,651,651
166,651,651
167,651,651
168,652,652
169,652,652
170,652,652
171,652,652
172,653,653
173,653,653
174,653,653
175,653,646
176,653,646
177,653,646
178,653,646
179,653,646
180,653,646
181,653,646
182,653,646
183,653,646
184,653,646
185,653,646
186,653,646
187,653,646
188,653,646
189,653,646
190,653,646
191,653,646
192,653,646
193,653,646
194,653,646
195,653,646
196,653,646
197,653,646
198,653,646
199,653,646
200,653,647
201,653,647
202,653,647
203,653,648
204,653,648
205,653,648
206,653,648
207,653,648
208,653,648
209,653,648
210,653,648
211,653,648
212,653,648
213,653,648
214,653,648
215,653,653
216,653,653
217,654,654
218,654,654
219,654,654
220,654,654
221,654,654
222,654,654
223,654,654
224,654,654
225,655,655
226,655,655
227,655,655
228,655,655
229,655,655
230,655,655
231,656,656
232,656,656
233,656,656
234,656,614
235,656,615
236,656,615
237,656,614
238,656,614
239,656,614
240,656,614
241,656,614
242,656,614
243,659,659
244,659,659
245,659,659
246,659,659
247,659,659
248,659,659
249,659,659
250,659,659
251,659,659
252,660,660
253,660,660
254,660,660
255,660,660
256,661,661
257,661,661
258,662,662
259,662,662
260,662,662
261,662,662
262,662,662
263,662,662
264,663,663
265,664,664
266,664,664
267,664,664
268,664,664
269,664,664
270,664,664
271,664,664
272,664,664
273,664,664
274,665,665
275,665,665
276,665,665
277,665,665
278,665,665
279,665,665
280,665,665
281,665,665
282,665,665
283,665,665
284,665,665
285,665,665
286,665,665
287,665,665
288,665,665
289,665,665
290,665,665
291,665,665
292,666,666
293,666,666
294,666,666
295,666,666
296,666,666
297,666,666
298,666,666
299,666,666
300,666,666
