iter,best_score,incumbent_score
0,132279,132279
1,132279,132279
2,132279,132279
3,132279,132279
4,132279,132279
5,132279,132279
6,132279,132279
7,132279,132279
8,132279,132279
9,132279,132279
10,132279,132279
11,132279,132279
12,132279,132279
13,132279,132279
14,132279,132279
15,132279,132279
16,132279,132279
17,132279,132279
18,132279,132279
19,132279,132279
20,132279,132279
21,132279,132279
22,132279,132279
23,132279,132279
24,132279,132279
25,132279,132279
26,132279,132279
27,132279,132279
28,132279,132279
29,132279,132279
30,132279,132279
31,132279,132279
32,132279,132279
33,132279,132279
34,132279,132279
35,132279,132279
36,132279,132279
37,132279,132279
38,132279,132279
39,132279,132279
40,132279,132279
41,132279,132279
42,132279,132279
43,132279,132279
44,132279,132279
45,132279,132279
46,132279,132279
47,132279,132279
48,132939,132939
49,132939,132939
50,132939,132939
51,132939,132939
52,132939,132935
53,132939,132935
54,132939,132935
55,132939,132935
56,132939,132935
57,132939,132935
58,132939,132935
59,132939,132870
60,132939,132870
61,132939,132870
62,132939,132870
63,132939,132870
64,132939,132870
65,132939,132870
66,132939,132870
67,132939,132870
68,132939,132870
69,133221,133221
70,133221,133221
71,133221,133221
72,133221,133221
73,133221,133221
74,133221,133221
75,133221,133221
76,133221,133221
77,133221,133221
78,133221,133221
79,133221,133221
80,133221,133221
81,133221,133221
82,133221,133221
83,133221,133221
84,133221,133221
85,133221,133221
86,133221,133221
87,133221,133221
88,133221,133221
89,133221,133221
90,133221,132892
91,133221,132892
92,133221,132892
93,133221,132892
94,133221,132892
95,133221,132892
96,133221,132892
97,133221,132892
98,133221,132892
99,133221,132892
100,133221,132892
101,133221,132892
102,133221,132892
103,133221,132892
104,133221,132892
105,133221,132892
106,133221,132892
107,133221,132892
108,133221,132892
109,133221,132892
110,133221,132892
111,133221,132892
112,133221,132892
113,133221,132892
114,133221,132892
115,133221,132892
116,133221,132892
117,133221,132892
118,133221,132892
119,133221,132892
120,133221,132892
121,133221,132892
122,133221,132892
123,133221,132892
124,133522,133522
125,133522,133522
126,133522,133522
127,133522,133522
128,133522,133522
129,133522,133522
130,133522,133522
131,133522,133522
132,133522,133522
133,133522,133522
134,133522,133522
135,133522,133522
136,133522,133522
137,133522,133522
138,133522,133522
139,133522,133522
140,133522,133522
141,133522,133522
142,133522,133522
143,133522,133522
144,133522,133522
145,133522,133522
146,133522,133522
147,133522,133522
148,133522,133522
149,133522,133522
150,133522,133522
151,133522,133522
152,133522,133522
153,133522,133522
154,133522,133522
155,133522,133522
156,133522,133522
157,133522,133522
158,133522,133522
159,133522,133522
160,133522,133522
161,133522,133522
162,133522,133522
163,133522,133522
164,133522,133522
165,133522,133522
