Lex comparison: SP vs True — sorted by priority descending
 PatientID     SP   True    Priority     Verdict
--------------------------------------------------
       398      Y      Y        1000        both
       171      Y      Y         999        both
       866      Y      Y         998        both
        43      Y      Y         997        both
       343      Y      Y         996        both
       616      Y      Y         995        both
       404      Y      Y         994        both
       479      Y      Y         993        both
        77      Y      Y         992        both
       149      Y      Y         991        both
       224      Y      Y         990        both
       214      Y      Y         989        both
       330      Y      Y         988        both
       998      Y      Y         987        both
       373      Y      Y         986        both
       759      Y      Y         985        both
       988      Y      Y         984        both
       960      Y      Y         983        both
       397      Y      N         982      A only
       550      Y      Y         981        both
       877      N      N         980     neither
       766      Y      Y         979        both
       789      Y      Y         978        both
       651      Y      Y         977        both
       580      Y      Y         976        both
       951      Y      Y         975        both
       242      Y      Y         974        both
       233      Y      Y         973        both
       939      Y      Y         972        both
       487      Y      Y         971        both
       532      Y      Y         970        both
       396      Y      Y         968        both
       868      Y      Y         966        both
       469      Y      Y         965        both
        60      Y      Y         964        both
       707      Y      Y         963        both
       141      Y      Y         961        both
       899      Y      Y         960        both
       757      Y      Y         959        both
        95      Y      Y         958        both
       610      Y      Y         957        both
       675      Y      Y         956        both
       337      Y      Y         955        both
       986      Y      Y         954        both
       298      Y      Y         953        both
       950      Y      Y         952        both
       137      Y      Y         951        both
       433      Y      N         950      A only
       177      Y      Y         949        both
       120      Y      Y         948        both
        27      Y      Y         946        both
       263      Y      Y         945        both
       216      Y      Y         944        both
       528      Y      Y         943        both
       752      Y      Y         942        both
       859      Y      Y         941        both
       624      Y      Y         940        both
       991      Y      Y         939        both
       891      Y      Y         938        both
       314      Y      N         937      A only
       834      Y      Y         936        both
       527      Y      Y         935        both
       923      Y      Y         934        both
       617      Y      N         933      A only
        73      Y      Y         932        both
       786      Y      Y         931        both
       223      Y      N         930      A only
       948      Y      Y         929        both
       793      Y      Y         928        both
       415      Y      Y         927        both
       239      Y      Y         925        both
       208      Y      Y         924        both
       259      Y      Y         923        both
       370      Y      Y         922        both
       336      N      N         921     neither
       430      Y      Y         920        both
       656      Y      Y         919        both
       649      Y      Y         918        both
       197      Y      Y         917        both
       589      N      N         916     neither
       861      Y      Y         915        both
        83      Y      Y         914        both
       226      Y      Y         913        both
       598      Y      Y         912        both
       475      Y      Y         911        both
        89      Y      Y         910        both
       857      Y      Y         909        both
       917      Y      Y         907        both
       115      Y      Y         906        both
       180      Y      Y         905        both
       155      Y      Y         904        both
       355      Y      Y         903        both
       571      Y      Y         902        both
       771      Y      Y         901        both
       913      Y      Y         900        both
       797      Y      Y         899        both
       297      Y      Y         898        both
       371      Y      Y         897        both
        10      Y      Y         896        both
       595      Y      Y         895        both
       816      N      N         894     neither
       132      Y      Y         892        both
       599      Y      Y         891        both
       256      Y      Y         890        both
       560      Y      Y         889        both
       410      Y      Y         888        both
       768      Y      Y         887        both
       710      N      N         886     neither
       533      Y      N         885      A only
       380      Y      Y         884        both
       775      Y      Y         883        both
       800      Y      Y         882        both
       770      Y      Y         881        both
       862      Y      Y         880        both
       200      Y      Y         879        both
       576      Y      Y         878        both
       176      Y      Y         877        both
       949      Y      Y         876        both
       666      Y      Y         874        both
       660      Y      Y         873        both
       526      Y      Y         872        both
       842      Y      Y         871        both
       289      Y      Y         870        both
       958      Y      Y         869        both
       895      Y      Y         868        both
       290      Y      Y         867        both
       488      Y      Y         866        both
       882      Y      Y         865        both
       326      Y      Y         864        both
       840      Y      Y         863        both
       272      Y      Y         862        both
       929      Y      Y         861        both
       399      Y      Y         860        both
       313      Y      Y         859        both
       977      Y      Y         858        both
        12      Y      Y         857        both
       388      Y      Y         856        both
       727      Y      Y         855        both
       160      Y      N         854      A only
       490      Y      Y         853        both
       332      Y      Y         852        both
       627      N      N         851     neither
       438      Y      Y         850        both
       996      Y      Y         849        both
       329      Y      Y         848        both
       461      Y      Y         847        both
       947      Y      Y         846        both
       324      Y      Y         845        both
       647      Y      Y         844        both
       228      Y      Y         843        both
       342      Y      Y         841        both
       251      Y      N         840      A only
       302      Y      Y         839        both
       191      Y      Y         838        both
       378      Y      Y         837        both
       901      Y      Y         836        both
       802      N      N         835     neither
       265      Y      Y         834        both
       154      Y      Y         833        both
       413      Y      Y         832        both
       846      Y      Y         831        both
        20      Y      Y         830        both
       217      Y      Y         829        both
        80      N      N         828     neither
       711      Y      Y         827        both
        85      Y      Y         826        both
       678      Y      Y         825        both
       309      Y      N         824      A only
       521      Y      Y         823        both
        41      Y      Y         822        both
        65      Y      Y         821        both
       354      Y      Y         820        both
       139      Y      Y         819        both
       136      Y      Y         818        both
       928      Y      Y         817        both
       183      Y      Y         816        both
       509      Y      N         815      A only
       760      Y      Y         814        both
       806      Y      Y         813        both
       869      Y      Y         812        both
       837      Y      Y         811        both
       474      Y      Y         810        both
       638      Y      Y         809        both
       476      N      N         808     neither
       130      Y      Y         807        both
       836      Y      N         806      A only
       628      Y      Y         805        both
       123      Y      Y         803        both
       304      Y      N         802      A only
       127      Y      Y         801        both
       942      Y      Y         800        both
