algorithm,num_patients,num_doctors,num_days,total_resolved,avg_daily_satisfaction_rate,avg_waitlist_size,min_waitlist_size,max_waitlist_size,final_waitlist_size,avg_cycles_per_day,avg_cycle_length_overall,resolved_count,resolved_avg_wait,resolved_std_wait,resolved_p50,resolved_p90,resolved_p95,resolved_p99,resolved_max,outstanding_count,outstanding_avg_wait,outstanding_p50,outstanding_p90,outstanding_p95,outstanding_p99,outstanding_max,overall_avg_wait,overall_max_wait,starvation_threshold_days,starved_resolved,starved_outstanding,num_districts,cross_district_prob,cross_added,within_added,cross_resolved_count,cross_resolved_avg,cross_resolved_p90,cross_resolved_p99,cross_resolved_max,within_resolved_count,within_resolved_avg,within_resolved_p90,within_resolved_p99,within_resolved_max,cross_outstanding_count,cross_outstanding_avg,within_outstanding_count,within_outstanding_avg,total_solve_ms,avg_solve_ms,max_solve_ms
Greedy DFS,100000,102,730,15089,0.009874,1945.1205,972,5000,3051,4.1753,4.3431,15089,49.8215,105.2720,1,182,305,501,700,3051,219.0043,188,456,522,614,730,78.2766,730,90,2509,2227,6,0.1100,2045,16095,1745,47.9920,161,500,700,13344,50.0607,184,501,698,300,206.0367,2751,220.4184,1119.3197,1.5333,11.2737
Huitfeldt TTC,100000,102,730,15316,0.009694,1953.4260,970,5000,2824,6.1233,3.1067,15316,30.1677,74.8505,1,86,165,393,729,2824,341.3431,302,730,730,730,730,78.6109,730,90,1466,2196,6,0.1100,2055,16085,1731,41.3882,127,473,679,13585,28.7379,81,381,729,324,328.5093,2500,343.0064,11616.7718,15.9134,106.7419
Exact Cardinality,100000,102,730,15538,0.010708,1775.4877,702,5000,2602,7.7411,3.4886,15538,30.9344,79.4994,1,86,179,420,726,2602,313.3924,275,697,730,730,730,71.4502,730,90,1497,2038,6,0.1100,2026,16114,1820,37.6852,104,448,720,13718,30.0388,84,417,726,206,282.4854,2396,316.0497,3705.7433,5.0764,874.5835
Exact Priority,100000,102,730,15025,0.009442,2039.4466,1103,5000,3115,8.1918,3.2206,15025,53.6992,109.3095,1,202,327,487,669,3115,218.9294,195,446,508,577,692,82.0725,692,90,2717,2282,6,0.1100,2020,16120,1710,51.6082,173,497,611,13315,53.9678,206,487,669,310,224.8097,2805,218.2795,3257.9874,4.4630,27.3735
Util Linear,100000,102,730,15468,0.010837,1767.1205,702,5000,2672,8.3014,3.2713,15468,42.5995,96.3914,1,146,253,484,729,2672,236.1785,192,507,610,730,730,71.1135,730,90,2221,1938,6,0.1100,2056,16084,1792,45.3008,145,444,726,13676,42.2455,147,487,729,264,228.0682,2408,237.0677,15172.4938,20.7842,7326.7803
Util Exp 1.01,100000,102,730,15616,0.010919,1737.9712,702,5000,2524,8.3068,3.5259,15616,32.5366,83.5547,1,92,195,446,730,2524,301.3582,258,673,730,730,730,69.9404,730,90,1577,1949,6,0.1100,2011,16129,1829,35.2646,101,386,725,13787,32.1747,90,456,730,182,260.4341,2342,304.5384,14546.5112,19.9267,7297.1105
Util Exp 1.05,100000,102,730,15329,0.010517,1811.3890,702,5000,2811,8.1986,3.3269,15329,41.9958,103.3179,1,136,276,535,729,2811,241.3945,201,517,613,730,730,72.8949,730,90,1923,2074,6,0.1100,2098,16042,1793,40.3943,130,453,671,13536,42.2080,137,542,729,305,222.7148,2506,243.6680,14108.9710,19.3274,6718.2149
Util Exp 1.1,100000,102,730,15226,0.010238,1858.3795,702,5000,2914,8.0877,3.2519,15226,45.6870,105.9498,1,161,295,520,729,2914,226.8315,195,482,542,730,730,74.7859,730,90,2205,2127,6,0.1100,2075,16065,1741,46.1717,149,501,710,13485,45.6244,162,524,729,334,222.9671,2580,227.3318,14212.2377,19.4688,6774.9530
Util Exp 1.5,100000,102,730,15100,0.010196,1883.7767,702,5000,3040,7.7205,3.2523,15100,47.4892,103.7207,1,174,292,489,728,3040,216.4704,187,451,518,660,730,75.8080,730,90,2430,2221,6,0.1100,2052,16088,1752,50.1284,166,526,675,13348,47.1428,177,483,728,300,211.7633,2740,216.9858,13951.2584,19.1113,6789.8599
Util Exp 1.9,100000,102,730,15217,0.010076,1886.7959,702,5000,2923,7.7384,3.2994,15217,47.5363,104.1009,1,169,300,489,714,2923,223.7431,190,473,537,678,730,75.9295,730,90,2410,2121,6,0.1100,2054,16086,1767,47.9536,163,482,700,13450,47.4815,170,490,714,287,204.4460,2636,225.8441,14005.1217,19.1851,6812.4592
