algorithm,kind,wait_days,count
Greedy DFS,resolved,1,4238
Greedy DFS,resolved,2,26
Greedy DFS,resolved,3,30
Greedy DFS,resolved,4,17
Greedy DFS,resolved,5,26
Greedy DFS,resolved,6,10
Greedy DFS,resolved,7,18
Greedy DFS,resolved,8,12
Greedy DFS,resolved,9,10
Greedy DFS,resolved,10,13
Greedy DFS,resolved,11,18
Greedy DFS,resolved,12,7
Greedy DFS,resolved,13,7
Greedy DFS,resolved,14,11
Greedy DFS,resolved,15,18
Greedy DFS,resolved,16,8
Greedy DFS,resolved,17,8
Greedy DFS,resolved,18,8
Greedy DFS,resolved,19,10
Greedy DFS,resolved,20,12
Greedy DFS,resolved,21,8
Greedy DFS,resolved,22,20
Greedy DFS,resolved,23,8
Greedy DFS,resolved,24,9
Greedy DFS,resolved,25,4
Greedy DFS,resolved,26,8
Greedy DFS,resolved,27,3
Greedy DFS,resolved,28,7
Greedy DFS,resolved,29,8
Greedy DFS,resolved,30,5
Greedy DFS,resolved,31,8
Greedy DFS,resolved,32,4
Greedy DFS,resolved,33,1
Greedy DFS,resolved,34,5
Greedy DFS,resolved,35,10
Greedy DFS,resolved,36,6
Greedy DFS,outstanding,0,18
Greedy DFS,outstanding,1,13
Greedy DFS,outstanding,2,10
Greedy DFS,outstanding,3,11
Greedy DFS,outstanding,4,16
Greedy DFS,outstanding,5,10
Greedy DFS,outstanding,6,12
Greedy DFS,outstanding,7,12
Greedy DFS,outstanding,8,9
Greedy DFS,outstanding,9,10
Greedy DFS,outstanding,10,10
Greedy DFS,outstanding,11,10
Greedy DFS,outstanding,12,13
Greedy DFS,outstanding,13,6
Greedy DFS,outstanding,14,11
Greedy DFS,outstanding,15,5
Greedy DFS,outstanding,16,9
Greedy DFS,outstanding,17,8
Greedy DFS,outstanding,18,4
Greedy DFS,outstanding,19,9
Greedy DFS,outstanding,20,11
Greedy DFS,outstanding,21,7
Greedy DFS,outstanding,22,9
Greedy DFS,outstanding,23,10
Greedy DFS,outstanding,24,4
Greedy DFS,outstanding,25,9
Greedy DFS,outstanding,26,8
Greedy DFS,outstanding,27,10
Greedy DFS,outstanding,28,11
Greedy DFS,outstanding,29,5
Greedy DFS,outstanding,30,8
Greedy DFS,outstanding,31,10
Greedy DFS,outstanding,32,10
Greedy DFS,outstanding,33,8
Greedy DFS,outstanding,34,7
Greedy DFS,outstanding,35,7
Greedy DFS,outstanding,36,687
Huitfeldt TTC,resolved,1,4242
Huitfeldt TTC,resolved,2,31
Huitfeldt TTC,resolved,3,37
Huitfeldt TTC,resolved,4,22
Huitfeldt TTC,resolved,5,9
Huitfeldt TTC,resolved,6,13
Huitfeldt TTC,resolved,7,13
Huitfeldt TTC,resolved,8,16
Huitfeldt TTC,resolved,9,12
Huitfeldt TTC,resolved,10,9
Huitfeldt TTC,resolved,11,11
Huitfeldt TTC,resolved,12,11
Huitfeldt TTC,resolved,13,13
Huitfeldt TTC,resolved,14,15
Huitfeldt TTC,resolved,15,5
Huitfeldt TTC,resolved,16,4
Huitfeldt TTC,resolved,17,3
Huitfeldt TTC,resolved,18,10
Huitfeldt TTC,resolved,19,6
Huitfeldt TTC,resolved,20,9
Huitfeldt TTC,resolved,21,6
Huitfeldt TTC,resolved,22,3
Huitfeldt TTC,resolved,23,12
Huitfeldt TTC,resolved,24,8
Huitfeldt TTC,resolved,25,4
Huitfeldt TTC,resolved,26,3
Huitfeldt TTC,resolved,27,3
Huitfeldt TTC,resolved,29,5
Huitfeldt TTC,resolved,30,3
Huitfeldt TTC,resolved,32,4
Huitfeldt TTC,resolved,33,3
Huitfeldt TTC,resolved,34,3
Huitfeldt TTC,resolved,35,1
